bert_precision,cosine_similarity,semantic_match
0.6449075937271118,0.6135461926460266,no
0.6897217631340027,0.7207110524177551,yes
0.6143337488174438,0.48950856924057007,no
0.6092548966407776,0.6132310628890991,no
0.6660351753234863,0.6551331877708435,no
0.6372342705726624,0.6417491436004639,no
0.6884839534759521,0.7686759233474731,yes
0.6407941579818726,0.7150052785873413,yes
0.6042349338531494,0.7110934257507324,yes
0.6615313291549683,0.7384758591651917,yes
0.627790093421936,0.6322667598724365,no
0.6915132403373718,0.7695016860961914,yes
0.6103249788284302,0.6884917616844177,no
0.6618357300758362,0.7058282494544983,yes
0.571739673614502,0.6118327975273132,no
0.511959969997406,0.5989813208580017,no
0.5728836059570312,0.568308413028717,no
0.59784996509552,0.614206850528717,no
0.7084668278694153,0.6751353144645691,no
0.622846245765686,0.6867881417274475,no
0.637723445892334,0.651279091835022,no
0.6256701946258545,0.639640212059021,no
0.6516492962837219,0.6711389422416687,no
0.6031062006950378,0.5921794772148132,no
0.6351380944252014,0.6799548268318176,no
0.6593139171600342,0.6260355114936829,no
0.7081280946731567,0.6624243855476379,no
0.6598047614097595,0.7151492238044739,yes
0.6279408931732178,0.6179274320602417,no
0.6498496532440186,0.6719291806221008,no
0.637747049331665,0.5978090763092041,no
0.6638666391372681,0.6735559105873108,no
0.6585919857025146,0.7353587746620178,yes
0.6205669641494751,0.5380279421806335,no
0.537277102470398,0.5944234728813171,no
0.5698944330215454,0.7159301042556763,yes
0.6418611407279968,0.66336590051651,no
0.6883711814880371,0.7162914276123047,yes
0.5898159742355347,0.7407793998718262,yes
0.6427590847015381,0.5463957786560059,no
0.8090782761573792,0.8371989727020264,yes
0.679790198802948,0.7823486328125,yes
0.668320894241333,0.816172182559967,yes
0.6754156351089478,0.7628751993179321,yes
0.7455980777740479,0.7370912432670593,yes
0.6658303141593933,0.6783942580223083,no
0.6728035807609558,0.7725768685340881,yes
0.7048673033714294,0.6930587887763977,no
0.6293607354164124,0.6964210867881775,no
0.6532091498374939,0.6998481750488281,no
0.6754705309867859,0.7154256105422974,yes
0.6692940592765808,0.7099660634994507,yes
0.6589441895484924,0.720468282699585,yes
0.6939470767974854,0.7273284792900085,yes
0.8067973852157593,0.8078661561012268,yes
0.7195276618003845,0.641459047794342,no
0.7126108407974243,0.740422248840332,yes
0.7309203743934631,0.7998648285865784,yes
0.7276354432106018,0.7238157987594604,yes
0.7161890864372253,0.7974636554718018,yes
0.7242791652679443,0.6829335689544678,no
0.7111678123474121,0.756601095199585,yes
0.7169816493988037,0.7223775386810303,yes
0.755611002445221,0.748786985874176,yes
0.700067400932312,0.8262762427330017,yes
0.6442360877990723,0.5504753589630127,no
0.8336172103881836,0.8465543985366821,yes
0.69785475730896,0.6630254983901978,no
0.6236761212348938,0.7106196880340576,yes
0.6995673179626465,0.7000390887260437,yes
0.5894770622253418,0.6410641074180603,no
0.6825962066650391,0.6806738972663879,no
0.6295997500419617,0.6287910342216492,no
0.6823047995567322,0.6712573766708374,no
0.6756530404090881,0.5204968452453613,no
0.6926816701889038,0.6704063415527344,no
0.629446804523468,0.6646813154220581,no
0.6213454604148865,0.5715963244438171,no
0.7356201410293579,0.7774506211280823,yes
0.6857998371124268,0.5493053793907166,no
0.7454943656921387,0.7382382750511169,yes
0.7044738531112671,0.7313593029975891,yes
0.6284427642822266,0.6802903413772583,no
0.6680813431739807,0.5565065741539001,no
0.6980009078979492,0.8361743688583374,yes
0.7416319847106934,0.7000851631164551,yes
0.6547684669494629,0.7657051086425781,yes
0.7055367231369019,0.629202663898468,no
0.6768380403518677,0.6576336622238159,no
0.6994906067848206,0.6858192086219788,no
0.7087881565093994,0.6881899237632751,no
0.710227370262146,0.7154638171195984,yes
0.8150656819343567,0.9149593114852905,yes
0.7620314359664917,0.872168779373169,yes
0.7084622383117676,0.8086003661155701,yes
0.7345904111862183,0.8602843880653381,yes
0.7663427591323853,0.8131821155548096,yes
0.6497825384140015,0.7888295650482178,yes
0.7521809339523315,0.8652179837226868,yes
0.7184647917747498,0.8186085224151611,yes
0.750505805015564,0.8509465456008911,yes
0.6820563077926636,0.7882863283157349,yes
0.7496289610862732,0.86599200963974,yes
